no.,bib,short title,author,auth_dates,date,008,edition,city,publisher,printer,extent,format,ills,bibliog,collection,long title,full tp,half tp,running title,notes,note text,para_count,paratype,paratext,epigraphs,prim_narr,sec_narr,narr_notes,subscribers,inscriptions,ins names,marginalia,marg_type,translation_claim,auth_claims,auth_text,claim_types,advertisements,works,nouns,adj,adv,names,verbs,objects,holding_institution,cataloger,record date,cat_institution,reviewer
1,991063613503681,The banished man:,"Smith, Charlotte Turner,",1749-1806.,1795.,1795,The 2d ed.,London,"Printed for T. Cadell, Jun. and W. Davies (successors to Mr. Cadell) in the Strand.",,4 v. ;,Duodecimo,,ESTC (RLIN); N79,,The banished man: A novel. By Charlotte Smith. In four volumes. Volume I. The second edition.,True,False,The banished man.,2,"Transcription of bookplate with Studdy family crest, on front paste-down endpaper of all volumes: ""Fide Se Cui Vide"" and ""Henry Studdy""; Epigraph included in each chapter.",7,"Footnote, Footnotes, Poem, Preface, To the Reader","Preface; Preface.; Front; v.1; Transcription of first sentence of the preface: ""The work I now offer to the public has been written under great disadvantages; and, might I quote in my apology for the defects of so trifling a composition as a novel, the expression used in regard to his great and laborious work by Dr. Johnson, I might justly plead in excuse for those defects, that it has been composed amidst inconvenience and distraction, in sickness and in sorrow!- at a time when long anxiety has ruined my health, and long oppression broken my spirit; at the end of more than ten years (a very great portion of human life) during which I have been compelled to provide for the necessities of a numerous family, almost entirely by my own labour."" Signed: ""Charlotte Smith."" Date: ""July, 30, 1794.""| Footnotes; Middle; v.1; Transcription of footnote on p.86: ""German coaches are made partly like a French cabriole; from whence a leather projects, which forms, in winter, another side; in summer, is let down for air.""| To the Reader; Avis Au Lecteur.; Front; v.2; Written as a transcribed conversation between ""Author"" and ""Friend"". Transcription of first sentence of the paratext: ""'There was, an please your Honor,"" said Corporal Trim; ""there was a certain king of Bohemia, who has seven cattles.'""| Footnotes; Middle; v.2; Transcription of the footnote on p.89: ""Mrs. Piozzi of Dr.Johnson."" Transcription of the footnote on p.123: ""Nor was he, indeed, then ignorant that he was going back to a most cruel enemy, and to exquisite tortures. Tully of Regulus."" Transcription of the footnote on p.151: ""The Lady would have said, I perceive you are a stranger. Perhaps you are a relation of the ladies who lodge in our house."" Transcription of the footnote on p.157: ""O! my poor little exile, what will become of you!"" Transcription of the footnote on p.214-215: ""Left any part of the sketches given of Mrs. Denzil's history should be supposed too strongly to resemble my own, I beg this circumstance, so totally different, may be adverted to: Not one of my childrens relations ever lent them an house; though some of them contributed all in their power to take from them the house we possess of our own.""| Poem; Back; v.2; Transcription of first stanza of poem on p. 235-236: ""Like a poor ghost, the night I seek;--- Its hollow winds repeat my sighs; The cold dews mingle on my cheek--- With tears that wander from mine eyes.""| Footnotes; Middle; v.3; Transcription of the footnote on p.34: ""This story, I have been assured, is fact - and that the melancholy circumstances here related, happened to a young woman in a situation of life somewhat superior to that of the person to whom they are given Transcription of the footnote on p.93: ""It should be remembere that such was the mode of education in France among the inferior ranks, for middle rank there was none, that it was hardly possible such men could be entrusted with the legislative power, and not abuse it. They had never been taught what was really libery, but to such men, power and plunder must have been desirable."" Transcription of the footnote on p.115: ""St Hubert is the titular saint of hunters. In France it was usual for the noblesse on that day in large parties in the great chateaux, and to remain a fortnight, or longer; passing the morning in the chace, and the evenings in cards and dancing."" Transcription of the footnote on p.232: ""If this was self-evident in 1793, it is much more so now when every day brings accounts of horrors, from which the mind attempts, in vain, to take refuge in incredulity. - 'One sanguinary tide scarce rolled away,--- Another comes in terrible sucession.' - Escaylus.""| Footnote; Middle; v.4; Transcription of the footnote on p.145-146: ""Thomso - It has struck me as remarkable, that the French (I speak of them as they were), who either read English poetry in the original, or translated into their own language, preferred Young and Thomson, to out gayer and lighter poets, which, like their passion for tragedy, seems to contradict the generally received opinion of their national character.""","a: ""Et de vrai la novellete couste cher jusqu'a cette heure a ce pauvre Estat-(et je ne scay si nous en sommes a la derniere enchere) qu'en tout et partout j'en quitte le party""; 2: Montaigne.; b: Essays of Michel de Montaigne; c: Michel de Montaigne; d: ... and, in truth, novelty costs this poor country up to the present moment so dear (and I do not know whether we have reached the highest pitch yet), that everywhere and in everything I renounce the fashion.; v: v.1; x: Translation source: https://www.gutenberg.org/files/3600/3600-h/3600-h.htm| a: Me quoque per multos similis fortuna labores. Iaetatum, hac demum voluit consistere terra. Non ignara maa;i, miseris succurrere disco.; 2: Virgil.; b: Aenid; c: Virgil; d: Me, too, has a like fortune driven through many toils, and willed that in this land I should at last find rest. Not ignorant of ill I learn to aid distress.; v: v.2; x: Translation source: https://www.loebclassics.com/view/virgil-aeneid/1916/pb_LCL063.305.xml| a: Alas! poor country!--- Almost afraid to know itself!-It cannot---Be call'd our mother, but our grave: where nothing--- But who knows nothing is once seen to smile:--- Where sighs and groans and shrieks that rend the air--- Are made, not mark'd: where violent sorrows seems--- A modern extacy : the dead man's knell--- Is there scarce ask'd for whom-; b: Macbeth; c: William Shakespeare; v: v.3| a: In si caro, e dolce ogetto--- La mia gioia, il mio diletto--- La mia pace io trovero; 2: Metastasio.; b: Il re pastore; c: Pietro Metastasio; d: In so dear and so sweet an object--- my joy, my delight,--- my peace, I will find.; v: v.4; x: Translation source: https://books.google.com/books?id=3o3INPlFi4sC&dq",Third-person,,,,0,,False, ,,Author (text); Author (paratext); Author (epigraph); Author (epigraph); Author (epigraph),True,Proper name,Fiction; Fiction,,Man,Banished; Four; Second,,Charlotte Smith,,,University of Pennsylvania,IC,6/8/18,University of Pennsylvania,DPL
2,991064203503681,"Maxims of gallantry, or, The history of Count de Verney /","Brewer, George,",b. 1766.,1793 [1795],1795,,London,"Printed for the author, and sold by Hookham and Carpenter, Bond Street.",,"xv, [1], 198, [2] p., [1] leaf of plates :",Octavo,ill. ;,ESTC (RLIN); N4360,,"Maxims of gallantry, or the history of the Count de Verney. By G-E B-R.",True,False,Maxims of Gallantry.,5,"Novel.; G-e B-r is George Brewer.  Cf. Halkett & Laing (2nd ed.); Allibone, p. 243.; Frontispiece dated: Oct. 1, 1795. Transcription of caption on frontispiece: ""We must seek it in more rational institutions.; Price on title page: ""[Price Five Shillings]""; ESTC lists publication date as 1793, but WorldCat lists publication date as 1795. Publication date on title page is 1793, but frontispiece is dated 1795.",3,"Errata, Introduction, Preface","Preface; Preface.; Front; Transcription of first line: ""The introduction of a work into the world under such a title as 'Maxims of Gallantry' may, perhaps, stand in need of some explanation or apology.""| Introduction; Introduction.; Front; Contains epigraphs: ""Peace is the first law of nature. That of seeking for nourishment is the second of those laws. The inclination of the sexes for eachother is the third. the desire of living in society is the fourth law of nature."" credited to Montesquieu; and ""Peace is the first law of nature,---That of seeking for nourishment is the second of those laws. The inclination of the sexes for each other is the third. ---The desire of living in society is the fourth law of nature."" Transcription of first line: ""Were all minds possessed of philosophy, or a fondness for metaphysical inquiry, the above laws of nature would be sufficient to shew[sic] that the inclination of the sexes, one for the other, and the desire of living in society, were not merely meant as laws to enforce the purposes of propagation, but to attract and direct the heart to the sweetest and most delightful of human pleasures, society, love and friendship.""| Errata; Errata.; Back; Transcription of first line: ""Page 5, Line 12, for Mamvatae read Mammoatoe.""","a: Liquida voluptas et libera. Pure pleasure unalloyed with pain.; 2: Cicero; c: Cicero; x: Second line is a translation of the first.| a: A man of pleasure, though not always so scrupulous as he should be, and as one day he will wish he had been, refines at least his pleasures by taste, acoompanies with them decency, and enjoys them with dignity.; 2: Lord Chesterfield; b: Letters to his son on the art of becoming a man of the world and a gentleman; c: Philip Dormer Stanhope, 4th Earl of Chesterfield",Third-person,,,,0,,True,Words,,Author (text),True,Proper name,,,Maxim; Gallantry; History,,,Count de Verney,,,University of Pennsylvania,OF,6/18/18,Carnegie Mellon University,IC
3,991064283503681,Montalbert :,"Smith, Charlotte Turner,",1749-1806.,1795,1795,,Dublin,"Printed for P. Wogan, P. Bryne, W. Jones, J. Rice, J. Moore, W. Porter, H. Colbert, H. Fitzpatrick, G. Folingsby.",,2 v. ;,Duodecimo,,ESTC (RLIN); N4187,,Montalbert. A novel.,True,True,Montalbert.,3,"Transciption of name in red ink: ""Charlotte..LeConte"". Located on first page of text of v.1 and v.2.; Located in v.2. Transciption of name in pencil: ""Mary H Penington.""; Faded, illegible reader's marking at the top of p. 21 and p.27, located in v.2.",2,Footnotes,"Footnotes; Middle; v.1; Transcription of footnote on p.15: ""A down in Hampshire on the borders of Sussex, the resort of both counties for cricket matches.""| Footnotes; Middle; v.2; Transcription of footnote on p.3: ""When the ruins came to be cleared away, says Sir William Hamilton, the bodies of the men who had perished were universally found in the attitude of resistance; the women in that of prayer, unless it was those who had children with them, in which cafe they were observed to have taken such postures as were likely to shelter and protect them."" Transcription of footnote on p.30: ""A Carlini is 5d. in English""",,Third-person,Letters,,,2,Charlotte..LeConte; Mary H Penington,True,Words,,Author (text),True,Proper name,,,Novel; Volume,Two,,Charlotte Smith; Montalbert,,,University of Pennsylvania,IC,6/7/18,University of Pennslyvania,OF
4,991066683503681,"Robert and Adela, or, The rights of women best maintained by the sentiments of nature :",,,1795,1795,,London,"Printed for G.G. and J. Robinson, Pater-Noster-Row.",,3 v. ;,Duodecimo,,ESTC (RLIN); N13038,,"Robert and Adela: or, the rights of women best maintained by the sentiments of nature. In three volumes. Volume I.",True,False,Robert and Adela,4,"An epistolary novel.; Damaged book plate advertisement on front paste-down endpages of vols. 1, 2 and 3. Transcription: ""Circulating Library of W. Keymer, bookseller, High-street Colchester;where may be had the greatest variety of novels, plays, and all new and entertaining publications, to reader by the night or quarter. Printing in general is neatly and correctly executed. Book-binding in all its various branches is performed with neatness and expedition. Accompt books ruled to the pattern, bound in leather, parchment, or vellum. Sells all sorts of writing paper, with every article in the stationary branch. Magazines, reviews, and all other periodical publications, may be had as soon as published, and great care taken of the delivery. All sorts of medicines usualy sold by stationers.""; The marginalia on the title page of v. 2 is a reference to a passage in ""The Sphinx and other Allegorical Lozenges"". Transcription of original passage: ""Envy and fear, and heart-corroding care, with cursed hate and malice triumph here.""; Error on running title in v.2 p.21, transcription: ""Robert and Adel.""",0,,,,Epistolary,First-person,,,0,,True,Words; Words; Words; Words,,,False, ,Miscellaneous,,Right; Woman; Sentiment; Nature,Best,Robert; Adela,,Maintain,,,DPL,6/15/18,University of Pennsylvania,IC
5,991077363503681,The royal captives :,"Yearsley, Ann,",1753-1806.,1795,1795,,London,"Printed for G. G. and J. Robinson, Pater-Noster Row.",,4 v. ;,Duodecimo,,ESTC (RLIN); T57814,,The royal captives. Volume I.,True,True,The royal captives.,0,,3,"Footnotes, Poem, Preface","Preface; Preface.; Front; v.1; Transcription of first sentence: ""'To be, or not to be, that is the question.' When Shakespeare wrote this line, he had lost fight of congregated Nature; since, to exist, or not to exist, can never be a question from existing substance."" Signed: ""Ann Yearsley.""| Poem; An Original: or the Elegy of Laura, turned to the Harp of Apollo.; Middle; v.1; Located on pgs. 170-180. Transcription of first sentence: The lovely Laura early was beguil'd--- By genius and by hope-She mourn'd her lot;--- Saw splendour rise beyond her native world,--- Panted for fame, and rashly left her cot.| Footnotes; Middle; v.1; Transcription of footnote on p.173: ""This was not meant to be Petrarch's Laura: the Bard seems to have thoughtlessly struck on the same name in the beginning of her Elegy. Note of the Editor.""","a: Dear spirit of refinement!--- From where thou hast chosen thy pure celestial--- dwelling, descend!--- From thee, bright form of innocence,--- Fly the brutal shadows that darkens the bosom of man.--- Thine are the grand, the energetic, the invisible;--- Thou art the soul of the world!; 1: Vide Page 89.; v: v.1; v: v.2; v: v.3; v: v.4",First-person,,,,3,"Appleby Book Club Proposed by M"" Bushby. Recd. December 1795. This book may be kept 7 days. The 4 vols ---14---; Appleby Book Club Proposed by M. Bushby Received Jan. 5 1796. This vol may be kept 7 days The 4 vols ------ 14 ---.; Jane Wilkinson Warren Hall May 11th 1823",True,Numbers; Words; Numbers,,Author (text); Author (paratext); Author (paratext),True,Proper name,,,Captive; Fragment; History,Royal; Secret; Old,,Ann Yearsley,Copied,Manuscript,University of Pennsylvania,IC,6/14/18,University of Pennsylvania,DPL
6,9913549283503681,"Audley Fortescue, or, the victims of frailty :","Robinson, John,",,1795,1795,,London,"Printed for William Lane, at the Minerva Press, Leadenhall-Street.",,2 v. ;,Duodecimo,,"Black, F.G.  The epistolary novel,; 697",,Audley Fortescue; or the victims of fraility.,True,True,Audley Fortescue.,4,"Attributed to John Robinson by Black, Blakey and Block.; Publisher's advertisements: v. 2, p. [190]-[193].; On the verso of the front free endpaper, in pencil: ""Old Novel 2001""; Reader made numerous edits in this novel.",3,"Footnote, Footnotes, Poem","Footnotes; Middle; v.1; Footnotes on pages: 14, 60, 77, 87, 93, 105, 155, 197.| Footnote; Middle; v.2; Footnote on p.60.| Poem; Sonnett.; Middle; v.1; Located on pg. 135. Transcription of first sentence of poem: Rear'd in the fun0shine of life's opening sky,--- My earlier hours were lull'd in soft delight;--- And whilst advancing seasons roll'd away,--- The flatt'ring prospect charm'd my ravish'd fight.",,Epistolary,First-person,,,0,,False, ,,Author (text),True,Proper name,Fiction,,Victim; Frailty,Two,London,Mr. Robinson; Audley Fortescue,,,University of Pennsylvania,IC,6/13/18,University of Pennslyvania,DPL
7,9917151843503681,The travels of Cyrus :,"Ramsay, Chevalier",1686-1743.,1795.,1795,A new edition.,London,,,434 p.,Duodecimo,,ESTC; T176325,,The travels of Cyrus. To which is annexed a discourse on the theology and mythology of the pagans. Translated from the French of M. Ramsay. A new edition.,True,True,The Travels of Cyrus.,8,"Translation of 'Voyages de Cyrus.'; ""A letter, from M. Freret ... to the author, concerning the chronology of his work"": p. 422-434.; The book is missing its back cover.; University of Pennsylvania Annenberg Rare Book and Manuscript Library bookplate on front pastedown endpaper; Error in page order. The page after p. 146 is p. 171 which goes to p.194 then the next page after that is p. 147. Then the page after p.170 is p. 195.; The running title on p.343 is missing an ""O"" for 'Of the pagans'; transcription: ""F the pagans.""; On p.162, the ""1"" is missing on the page number.; A little slip between pages xx and xxi that says ""Via Marseilles.""",6,"Footnotes, Letter, Other, Preface","Preface; Preface.; Front; Transcription of first sentence: ""Ever since the first edition of the Travels of Cyrus, the Author has listened with respect and deference to the judgement of the public; and as several specious objections have been made to the work and many real faults discovered in it, his design in this Preface is to give the best answer he can to the one, an to acquaint the reader with what he has done to correct the other.""| Footnotes; Front; Footnotes on pages: xxi.| Footnotes; Middle; Footnotes on pages: 25, 26, 27, 30, 41, 54, 58, 62, 66, 67, 80, 83-84, 85, 90, 100, 103, 106, 113, 115, 116, 127, 133, 139, 143, 144, 146, 171, 175, 187, 190, 194, 147, 160, 164, 168, 210, 212, 213, 215, 216, 217, 218, 220, 221, 225, 226, 228, 232, 238, 239, 242, 246, 251, 253, 268, 269, 270, 271, 272, 279, 281, 282, 292, 302, 305, 309, 327, 334.| Other; A discourse, & c.; Back; Transcription of first sentence: ""My first design was to insert some critical notes in the margin of the foregoing book; but as the attending to such remarks would have diverted that reader's mind too much from the principal subjects, I thought it better to digest them into the form of a discourse, which I divide into two parts.""| Letter; Letter From M. Freret (Member of the Academy of Inscriptions at Paris) to the Author, concerning the chronology of his work.; Back; Transcription of first sentence of the letter: ""Sir, There have perhaps been a more different systems formed, to settle the history of Cyrus, and the chronology of the Kings of Babylon, than for any other part of the antient history.""| Footnotes; Back; Footnotes on pages:  341, 342, 343, 344, 346, 348, 350, 351, 352, 354, 355, 356, 357,358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 370, 371, 372, 373, 374, 375, 376, 377 378, 379, 380, 381, 382, 383, 384, 386, 389,390, 391, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 414, 415, 416, 417, 418, 424, 426, 431, 432, 433, 434.",,Third-person,,,,0,,True,Words; Numbers,Translation,Author(text); Author (paratext); Author (paratext); Author (paratext),False, ,,,Travel; Discourse; Theology; Mythology; Pagan,French,London,Cyrus; M. Ramsay,Translate; Annex,,University of Pennsylvania,IC,6/12/18,University of Pennsylvania,AS
8,991997933503681,The hermit:,"Longueville, Peter,",fl. 1727.,1795,1795,A new ed.,Printed at Exeter [N. H.],"by H. Ranlet, for I. Thomas, and E. T. Andrews, Faust's statue, no. 45, Newbury-street, Boston.",,"vi, [7]-263, [1] p. :",Duodecimo,Ill. (frontispiece),ESTC (RLIN); W36160,,"The hermit: Or the unparalleled sufferings and surprising adventures of Philip Quarll, an Englishman. Who was lately discovered upon an unihabited island in the South-Sea, where he lived above fifty years, without any human assistance. Containing, I. His conference with those who found him; to whom he recited the most material circumstances of his life: His being born in the parish of St. Giles, educated by the charity of a lady, and put out apprentice to a lock-smith. II. His leaving his master, and being taken up with a notorious house-breaker, who was hanged; his lucky escape, and going to sea a cabin-boy, marrying a famous prostitute, enlisting a common soldier, turning singing-master, and afterwards marrying three wives, for which he was tried and condemned at the Old Bailey. III. His being pardoned by the King, turning merchant, and being shipwrecked on this desolate island on the coast of Mexico. With an elegant frontispiece. A new edition.",True,False,The English hermit.,7,"Signed: Ed. Dorrington.; Signatures: A-X5 (incl. frontispiece); Running title: The English hermit.; The preface (signed P. L. in the original edition) is signed W. L.; An issue of the 1727 edition in the British museum has the initials P. L. in the title and a dedication, in which the writer claims the authorship of the work, signed Peter Longueville. In the preface (signed P. L.) he denounces the bookseller for having substituted Edward Dorrington's name for his own. For a discussion of the authorship cf. A. Esdaile's ""Author and publisher in 1727; The English hermit"", in the Library, 4th ser., v. 2, p. 185-192.; Ascribed by some authorities to Alexander Bicknell.; Bookplate on front paste-down endpaper: ""Library of the University of Pennslyvania"" and ""823"" and ""L869Ha"" and ""Presented by Charles W. Burr, M. D.""",5,"Footnotes, Poem, Preface","Preface; Preface.; Front; Begins: ""Truth and fiction, have, of late, been so promiscuously blended together, in performances of this nature, that, in the present case, it seems absolutely necessary to distinguish the one from the other. If Robinson Crusoe, Moll Flanders, and Colonel Jack, have their admirers among the lower rank of readers, it is as certain that the morality in masquerade, which may be discovered in the travels of Lemuel ulliver, has been an equal entertainment to the superior class of mankind."" Author of preface claims to be the Editor, having been given the manuscript by Edward Dorrington, ""an eminent merchant."" Preface describes that first 'book' is written by Edward Dorrington, and the second and third are transcribed by Dorrington from ""Mr. Quarll's parchment-roll.""  Signed: ""The reader's humble servant, W.L.""| Footnotes; Middle; Footnote on p.110 reads: ""The lines marked with ("") are set down word for word with his memoirs, for these reasons. 1. I thought it a pity to alter any thing from his notions of the pleasures of country life. 2. And the rather, because it gives us very lively ideas of the perfect happiness he enjoys in his solitude."" Footnote on 189 reads: ""Lest the reader should think, these and the following verses to be the effect of my own brain, I solemnly protest, they are what I found in his memoirs, written with his own hand.""| Poem; Middle; Located on p.188-9. Transcription: ""He who, when in distress, ---To God makes his address, ---And his bounties implore; ---Is sure, and may depend, ---That relief he will send, ---And at need help the poor.""| Poem; Middle; Located on p.214. Transcription: ""Leave the miser the knowing care, ---Who'll succeed him, or be his heir; That racks his soul with discontent, ---Left what he rak'd for should be spent ---His gold to him is far more dear, ---Than all his friends or kindred near.""| Poem; Middle; Transcription, p.87: He whom unlawful means advances to gain,--- Instead of comfort, finds a constant pain:--- What e'en by lawless arts we do possess,--- Old age and sickness make it comfortless.--- Be rul'd by me, not to increase your store--- By means unjust; for'twill make you poor,--- Take but your due, and never covet more.",,First-person,Third-person; Letters,,,0,,False, ,,Author (text); Editor (text); Author (paratext); Author (text),True,Proper name; Proper name,,,Hermit; Suffering; Adventure; Englishman; Island; Year; Assistance; Conference; Circumstance; Parish; Charity; Lady; Apprentice; Lock-smith; Master; House-breaker; Escape; Sea; Cabin-boy; Prostitute; Soldier; Singing-master; Wife; King; Merchant; Island; Coast,Unparalleled; Surprising; Uninhabited; Fifty; Human; Material; Born; Notorious; Lucky; Famous; Common; Three; Shipwrecked; Desolate,South-Sea; St. Giles; Old Bailey; Mexico,Philip Quarll,Discover; Live; Contain; Find; Recite; Be; Educate; Put; Leave; Take; Hang; Go; Marry; Enlist; Turn; Try; Condemn; Pardon,,,SH,6/7/18,Swarthmore College,IC
9,993652563503681,"The Holy war,","Bunyan, John,",1628-1688.,1795,1795,"A new edition, to which are subjoined notes, by Samuel Adams. Embellished with copper plates.",London,Printed for the proprietors; and sold by all booksellers in town and country.,,"viii, [iii]-iv, 338 p.",Octavo,Ill.,ESTC (RLIN); T58566,,"The Holy War, made by King Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, the losing and taking again of the town of Mansoul. Written by John Bunyan, Author of the Pilgrim's Progress, &c. A new edition, to which are subjoined notes, by Mr. Samuel Adams. Embellished with copper plates.",True,False,"The Holy War, by Mr. John Bunyan.",11,"Shaw and Shoemaker 8104.; Bookplate on front paste-down endpaper, in ink: ""University of Pennslyvania Libraries"" and ""Bibliotheca Universitatis Pennslyvaniensis"" and ""Rittenhouse Orrery"" and ""Gift of Miss S. Frances Vankirk""; Illustrations on p. 17, 77, 92, 103, 162, 192, 315; Caption of illustration on p.17: Diabolus in the form of a dragon, attended by ill-pause, haranguing the town of Mansoul, while Capt. Resistance is falling from the walls, having been shot by Tisiphone in ambuscade.; Caption of illustration on p.77: The new soldiers (tradition, human wisdom, and man's invention) taken prisoners from the camp of Shaddai, & brought before the giant Diabolus in his castle.; Caption of illustration on p.92: Lord Understanding & Mr. Conscience in prison, as ringleaders of the rioters in the town of Mansoul.; Caption of illustration on p.103: The white flag which the 3 golden doves set up as a favorable signal before the town of Mansoul by order of Emanuel.; Caption of illustration on p.162: Emanuel after gaining the victory entering the town of Mansoul in his chariots &c.; Caption of illustration on p.192:Emanuel renews their Charter and delivers it to the Elders of the town of Mansoul.; Caption of illustration on p.315: Emanuel showing mercy to those who came out of blindzealshire, &c. on their asking forgiveness.; Marginal glosses summarizing plot events are providing moral advice are featured throughout the novel.",5,"Footnotes, Preface, To the Reader","To the Reader; John Bunyan's Advertisement to the Reader; Front; Written in verse. First sentence of advertisement: ""Some say the Pilgrim's Progress is not mine,---Insinuating as if I would shine---In name and fame by worth of another,---Like some made rich by robbing of their brother:"" Signed: ""John Bunyan.""| To the Reader; Mr. Bunyan's Address to the Reader; Front; Written in verse. First sentence of address: ""'Tis strange to me, that they that love to tell--- Things done of old, yea, and that do excel--- Their equals in historiology,--- Speak not of Mansoul's wars, but let them lie--- Dead like old fables, or such wonderful things--- That to the reader no advantage brings:--- When men, let them make what they will their own,--- Till they know this, are to themselves unknown."" Signed: ""John Bunyan.""| Preface; Preface.; Front; First sentence of the preface: ""The merit of Mr. John Bunyan's History of the How War is so universally known and acknowledged by Christians of all denominations, that to bestow any encomium upon it here would be both absurd and unnecessary; all Mr. Bunyan's productions, particulary the following History of the Holy War, and his Pilgrim's Progress, have met with general approbation; few compositions have been so well received and fewer indeed have kept their ground so long."" Signed: ""The editor.""| Footnotes; Front; Located on pgs. v, vi, vii, viii.| Footnotes; Middle; Footnotes on nearly every single page with text. These footnotes contain proverbs and moral teachings with some being taken from the Bible.  Transcription of first sentence of the footnote on p.9: ""Satan could gain no advantage over Adam in paradise without the concurrence of his judgement, and consent of his will; but these being weakened, and at length overcome, by listening to the temptation."" Transcription of first sentence of the footnote on p.17: ""Beware of flattery and hypocrisy: especially of that cunning craftiness of false teachers, whereby they lie in wait to desceive unwary souls, having itching ears.""",,First-person,,Poems; The advertisement and the author's address to the reader are in verse.,,0,,False, ,,Author (text); Author (text); Author (paratext); Author (paratext); Author (paratext); Editor (text),True,Proper name; Reference to other works,,Pilgrim's Passage,War; King; Diabolus; Metropolis; World; Town; Edition; Note; Plate,Holy; New; Copper,Mansoul,King Shaddai; John Bunyan; Samuel Adams,Lose; Take; Made; Regain; Subjoin; Embellish,,University of Pennsylvania,IC,6/6/18,University of Pennslyvania,OF
10,9939713383503681,"Anecdotes of Mary, or, The good governess /",H. S.,,1795,1795,,London,"Printed for E. Newberry, Corner of St. Paul's Church-Yard,",,"[1], 159, 4 p., [1] leaf of plates :",Duodecimo,Ill.,"Block, A. Engl. novel (1961 ed.),; p.8",,"Mary or, The Good Governess.",False,False,The Good Governess; or (verso); Anecdotes of Mary. (recto),8,"Running title: The good governess, or, The anecdotes of Mary.; The frontispiece, which has title: The pleasures of benevolence, was probably engraved by William Blake. Cf. Note of bookseller, Stone hill, laid in; A bibliography of William Blake / G.L. Keynes. 1921, p. 239, item 107.; The History referred to is probably the one with the title: The History of the Davenport family ... with moral reflections / by H.S. Cf. Brit. Mus. Cat. and Evan ([1795?] and 1798 editions, respectively.); ""Publications for the instruction and amusements of young people. Printed for E. Newberry"": 4 p. at end.; Caption of Illustration: The Pleasures of Benevolence.; Writing on front paste-down endpaper: ""Mary Ann Williams""; Writing on front free endpaper: [illegible]; Broken red wax seal bearing the name ""Mary"" on inside back cover",1,Footnote,"Footnote; Middle; Transcription of footnote on p. 114: Mary had been taught, besides, to address a short prayer to the Deity, immediately upon waking, to acknowledge his goodness in having defended her from all ""perils and dangers of the night,"" a tribute no grateful mind can neglect to pay.","a: ""Il faut petrir le pain des Enfans avec le Levian de la Raison et les accoutumer a la fentir et a la gouter.""; 1: Ecole Des Moeurs De' L'Abbe Blanchard.; b: Ecole Des Moeurs De' L'Abbe Blanchard; c: Jean-Baptiste Blanchard; d: The children's bread must be kneaded with the Leaven of Reason, and they must be accustomed to feasting and eating of it.; x: Translation source: https://translate.google.com/",Third-person,,,,2,Mary Ann Williams; C.J Nof(?)son,True,Drawings,,Author (text),True,Reference to other works,Mixed Genre,The History of the Davenport Family,Anecdote; Governess; Author,Good,,Mary,,,University of Pennsylvania,IC,6/12/18,University of Pennsylvania,OF
